date,rainfall_mm,soil_moisture_percent,humidity_percent,river_level_m,temperature_c,flood_risk
2026-05-28,61.51,21.94,88.36,0.78,24.77,1
2021-10-26,62.53,35.56,89.93,7.41,24.67,1
2025-08-26,18.49,44.7,63.43,9.04,20.08,0
2021-03-22,33.11,15.28,74.05,7.69,28.93,0
2021-04-30,14.58,27.62,70.35,3.36,31.83,0
2021-08-25,62.38,34.36,85.73,5.9,36.09,1
2022-07-18,28.96,27.22,96.59,9.84,31.22,1
2023-03-31,38.3,33.98,65.22,0.92,19.52,0
2021-07-17,24.93,22.94,81.08,2.22,34.41,0
2026-08-25,52.03,30.95,82.81,7.81,29.05,0
2021-03-08,35.82,26.81,68.94,2.58,19.42,0
2021-09-30,106.4,24.96,64.7,9.17,26.02,1
2023-12-25,8.81,49.91,94.13,3.36,34.98,1
2024-12-27,63.76,57.8,93.69,2.59,21.85,1
2026-06-01,23.52,36.67,74.5,4.08,23.57,0
2020-02-03,38.81,47.19,80.98,3.17,20.4,0
2021-07-06,78.61,20.06,86.89,9.27,27.78,1
2026-03-10,63.83,19.01,75.2,8.48,25.43,1
2020-10-27,15.41,39.24,61.24,5.35,25.79,0
2022-05-18,77.42,32.4,88.3,4.61,25.85,1
2020-12-31,17.61,28.76,71.55,3.92,23.68,0
2024-02-19,39.17,38.2,78.32,5.11,21.99,0
2024-11-19,11.93,17.6,75.85,2.54,29.14,0
2025-03-24,89.55,27.19,97.41,8.34,21.84,1
2022-08-13,39.42,30.37,93.89,6.01,30.97,0
2021-04-27,35.8,45.98,92.45,6.56,23.2,1
2024-06-24,26.69,45.79,71.75,9.07,29.64,1
2024-07-05,3.24,27.37,84.02,5.09,32.25,0
2026-06-25,36.2,24.61,82.02,4.23,24.15,0
2021-09-04,24.1,24.26,54.32,4.12,20.15,0
2026-08-16,27.93,38.98,69.47,1.66,22.94,0
2024-05-15,14.17,45.3,85.22,6.41,24.69,1
2025-04-10,67.88,14.93,72.18,10.24,23.43,1
2021-10-28,42.76,11.53,81.18,4.19,23.51,0
2025-03-27,74.31,11.0,89.15,5.45,29.2,1
2020-08-26,39.11,18.17,83.74,6.65,24.0,0
2022-01-25,28.24,36.0,100.0,5.03,23.89,0
2021-01-04,7.37,18.8,76.42,3.61,26.99,0
2025-03-19,70.11,15.18,75.22,1.04,22.48,0
2020-03-15,63.19,46.35,76.03,5.64,25.67,1
2022-09-03,74.91,25.16,87.78,5.54,25.39,1
2025-08-31,28.4,23.92,62.7,9.61,31.89,0
2025-03-28,82.68,28.72,93.42,4.23,21.44,1
2023-08-09,9.89,37.21,55.1,3.44,28.41,0
2023-03-12,40.36,47.11,76.08,6.18,21.97,0
2025-01-08,10.05,24.87,70.74,2.48,23.47,0
2022-11-19,15.19,40.23,86.38,9.91,25.76,1
2020-09-24,85.61,17.36,70.81,8.2,32.21,1
2024-12-12,84.58,30.84,74.81,3.74,34.06,0
2023-04-18,54.22,30.43,56.52,5.76,27.49,0
2024-09-12,13.66,23.95,95.51,6.87,25.27,0
2023-03-05,38.54,25.02,81.32,4.25,32.93,0
2020-07-08,91.35,41.84,90.55,3.7,25.35,1
2021-02-13,33.55,42.3,74.42,6.39,26.1,0
2022-04-27,38.32,37.4,71.46,5.92,20.45,0
2026-02-12,47.75,32.97,81.11,1.48,29.1,0
2021-05-26,62.45,33.83,71.89,9.22,22.77,1
